date,artist,opener1,opener2,opener3,opener4,festival,venue,city,state,country,price,solo
2019-05-17,Chemical Brothers,The Black Madonna,,,,,Bill Graham Civic Auditorium,San Francisco,CA,USA,,Yes
2019-03-01,Petit Biscuit,,,,,Noise Pop,1015 Folsom,San Francisco,CA,USA,$30.36,No
2019-01-21,Cautious Clay,,,,,,The Independent,San Francisco,CA,USA,$22.00,No
2019-01-18,Pete Tong,,,,,,Halcyon,San Francisco,CA,USA,$25.00,No
2019-01-14,Toro y Moi,Salami Rose Joe Louis,,,,,The New Parish,Oakland,CA,USA,$36.17,No
2019-01-04,Washed Out,,,,,,1015 Folsom,San Francisco,CA,USA,$16.19,No
2018-12-31,Geographer,,,,,,Monarch,San Francisco,CA,USA,$25.05,No
2018-12-09,"Peter, Bjorn, John",,,,,,The Independent,San Francisco,CA,USA,$25.00,No
2018-12-07,Bomba Estereo,,,,,,The Fox Theater,Oakland,CA,USA,$32.50,No
2018-11-30,HOW TO DRESS WELL,MORGXN,,,,,Rickshaw Stop,San Francisco,CA,USA,$19.02,No
2018-11-27,Shallou,,,,,,The Independent,San Francisco,CA,USA,,No
2018-11-17,Bloody Beetroots,HVDES,RAYN,,,,Mezzanine,San Francisco,CA,USA,$26.60,No
2018-11-09,Ladies of LCD Soundsystem,,,,,,Mezzanine,San Francisco,CA,USA,$19.50,No
2018-11-07,Louis the Child,Nombe,R.LUM.R,,,,The Danforth Music Hall,Toronto,ON,Canada,$26.54,Yes
2018-11-03,Pendulum,,,,,,Mezzanine,San Francisco,CA,USA,$26.60,No
2018-10-27,RAC,JackLNDN,Electric Treasure,Hobson,,,Mezzanine,San Francisco,CA,USA,$36.90,No
2018-10-20,3LAU,Matt & Kim,,,,,Hearst Greek Theatre,Berkeley,CA,USA,$0.00,No
2018-10-17,Lykke Li,TiRon & Ayomari,,,,,The Fillmore,San Francisco,CA,USA,$29.50,No
2018-10-14,Tame Impala,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-14,Jungle,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-14,Pond,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-13,Santigold,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-13,Silk City,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-13,Laff Trax,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-13,Polo y Pan,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-13,Gilligan Moss,,,,,Treasure Island,Middle Harbor Shoreline Park,Oakland,CA,USA,$175.00,No
2018-10-06,James Blake,Airhead,Dan Foat,,,,Public Works,San Francisco,CA,USA,$25.88,No
2018-09-08,Phoenix,Cut Copy,Sir Sly,,,,Hearst Greek Theatre,Oakland,CA,USA,$49.50,No
2018-08-25,Neon Indian,,,,,,Bergerac,San Francisco,CA,USA,$12.22,No
2018-08-16,Chanca Via Circuito,,,,,,Rickshaw Stop,San Francisco,CA,USA,$18.28,No
2018-08-11,Florence and the Machine,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$0.00,No
2018-08-11,Tycho,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$0.00,No
2018-08-11,Jamie XX,,,,,Outside Lands,Golden Gate Park,San Francisco,CA,USA,$0.00,No
2018-07-20,Rhye,Lawrence Rothman,,,,,The Warfield,San Francisco,CA,USA,$35.00,No
2018-07-10,We Are Scientists,Beverly,,,,,The Chapel,San Francisco,CA,USA,$0.00,No
2018-06-16,Flying Lotus,Little Dragon,BADBADNOTGOOD,,,,Hearst Greek Theatre,Berkeley,CA,USA,$49.50,Yes
2018-05-23,Pond,Fascinator,,,,,Bimbo's 365 Club,San Francisco,CA,USA,$21.00,Yes
2018-05-17,Poolside,Vito Roccoforte (of The Rapture),Dream Queen,,,,Rickshaw Stop,San Francisco,CA,USA,$20.00,No
2018-04-28,Steve Aoki,Mark Eaton,,,,,Jewel Nightclub,Las Vegas,NV,USA,$0.00,No
2018-04-21,Moonchild,Kiefer Shackelford,,,,,The New Parish,Oakland,CA,USA,$0.00,No
2018-04-17,Carpenter Brut,Jean Jean,,,,,Regency Ballroom,San Francisco,CA,USA,$25.00,No
2018-04-07,Chromeo,The Phantoms,,,,,The Fox Theater,Oakland,CA,USA,$51.35,No
2018-03-26,Ella Vos,Freya Ridings,,,,,The Independent,San Francisco,CA,USA,,No
2018-03-10,Breakbot,,,,,,Audio Nightclub,San Francisco,CA,USA,$17.47,No
2018-03-03,Bonobo, Pantha Du Prince,Birds of Rhythm,,,,The Midway,San Francisco,CA,USA,$41.72,No
2018-02-23,Rostam,Joy Again,The Y Axes,High Sunn,,Noise Pop,Slim's,San Francisco,CA,USA,$25.88,No
2018-02-22,Geographer,Andrew St. James,Emily Afton,Outer Embassy,,Noise Pop,The Independent,San Francisco,CA,USA,$25.75,No
2018-02-12,R.LUM.R,Gibbz,,,,,The Independent,San Francisco,CA,USA,$22.92,No
2018-01-17,K.Flay,Sir Sly,,,,,The Fillmore,San Francisco,CA,USA,$22.50,No
2017-12-15,Boys Noize,Dean Samaras,Parker Phariss,,,,Halcyon,San Francisco,CA,USA,$38.11,Yes
2017-12-04,James Blake,Connan Mockasin,,,,,Bill Graham Civic Auditorium,San Francisco,CA,USA,$45.00,Yes
2017-11-22,Hot Chip,,,,,,Mezzanine,San Francisco,CA,USA,$20.45,No
2017-11-17,Death From Above,The Beaches,,,,,UC Theater,Berkeley,CA,USA,$47.38,No
2017-11-15,LCD Soundsystem,,,,,,Bill Graham Civic Auditorium,San Francisco,CA,USA,$66.25,No
2017-10-29,Yelle,Lewis Ofman,,,,,Rickshaw Stop,San Francisco,CA,USA,$29.61,No
2017-10-28,Odesza,Chet Faker,Sofi Tukker,,,,Hearst Greek Theatre,Berkeley,CA,USA,$53.50,No
